Periodos,IMCP
2021/01,94.73900518
2021/02,94.10885581
2021/03,96.1441506
2021/04,96.26106648
2021/05,96.99683087
2021/06,97.2097027
2021/07,98.20728993
2021/08,98.01545967
2021/09,98.9432138
2021/10,99.67252541
2021/11,100.3015686
2021/12,101.6265629
2022/01,100.7028077
2022/02,102.4705441
2022/03,103.005899
2022/04,103.171403
2022/05,103.6967107
2022/06,103.9143505
2022/07,103.762977
2022/08,104.5142668
2022/09,105.0504906
2022/10,104.9614099
2022/11,104.7191037
2022/12,105.3669088
2023/01,106.9868353
2023/02,106.4005866
2023/03,106.7624427
2023/04,107.9282907
2023/05,107.7756527
2023/06,108.1681179
2023/07,108.2093868
